time_start,zone,afrr_up_price_eur_mw,afrr_up_volume_mw,afrr_down_price_eur_mw,afrr_down_volume_mw
2026-01-03T06:00:00,SN3,0.0,0.0,11.0,40.0
2026-01-03T06:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T07:00:00,SN1,0.0,0.0,11.0,46.0
2026-01-03T07:00:00,SN2,0.0,0.0,11.0,120.0
2026-01-03T07:00:00,SN3,0.0,0.0,11.0,40.0
2026-01-03T07:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T08:00:00,SN1,0.0,0.0,9.0,68.0
2026-01-03T08:00:00,SN2,0.0,0.0,9.0,140.0
2026-01-03T08:00:00,SN3,0.0,0.0,9.0,40.0
2026-01-03T08:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T09:00:00,SN1,0.0,0.0,8.0,46.0
2026-01-03T09:00:00,SN2,0.0,0.0,8.0,120.0
2026-01-03T09:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T09:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T10:00:00,SN1,0.0,0.0,8.5,60.0
2026-01-03T10:00:00,SN2,0.0,0.0,8.5,126.0
2026-01-03T10:00:00,SN3,0.0,0.0,8.5,40.0
2026-01-03T10:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T11:00:00,SN1,0.0,0.0,8.5,60.0
2026-01-03T11:00:00,SN2,0.0,0.0,8.5,130.0
2026-01-03T11:00:00,SN3,0.0,0.0,8.5,40.0
2026-01-03T11:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T12:00:00,SN1,0.0,0.0,8.0,46.0
2026-01-03T12:00:00,SN2,0.0,0.0,8.0,120.0
2026-01-03T12:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T12:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T13:00:00,SN1,0.0,0.0,8.0,46.0
2026-01-03T13:00:00,SN2,0.0,0.0,8.0,120.0
2026-01-03T13:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T13:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T14:00:00,SN1,0.0,0.0,8.0,46.0
2026-01-03T14:00:00,SN2,0.0,0.0,8.0,120.0
2026-01-03T14:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T14:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T15:00:00,SN1,0.0,0.0,8.0,56.0
2026-01-03T15:00:00,SN2,0.0,0.0,9.0,140.0
2026-01-03T15:00:00,SN3,0.0,0.0,9.0,40.0
2026-01-03T15:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T16:00:00,SN1,0.0,0.0,9.0,60.0
2026-01-03T16:00:00,SN2,0.0,0.0,9.0,140.0
2026-01-03T16:00:00,SN3,0.0,0.0,9.0,40.0
2026-01-03T16:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T17:00:00,SN1,0.0,0.0,8.0,54.0
2026-01-03T17:00:00,SN2,0.0,0.0,9.0,140.0
2026-01-03T17:00:00,SN3,0.0,0.0,9.0,40.0
2026-01-03T17:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T18:00:00,SN1,0.0,0.0,9.0,60.0
2026-01-03T18:00:00,SN2,0.0,0.0,9.0,140.0
2026-01-03T18:00:00,SN3,0.0,0.0,9.0,40.0
2026-01-03T18:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T19:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-03T19:00:00,SN2,0.0,0.0,6.5,82.0
2026-01-03T19:00:00,SN3,0.0,0.0,6.5,40.0
2026-01-03T19:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T20:00:00,SN1,0.0,0.0,8.0,30.0
2026-01-03T20:00:00,SN2,0.0,0.0,8.0,114.0
2026-01-03T20:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T20:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T21:00:00,SN1,0.0,0.0,8.0,30.0
2026-01-03T21:00:00,SN2,0.0,0.0,8.0,114.0
2026-01-03T21:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T21:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T22:00:00,SN1,0.0,0.0,8.0,30.0
2026-01-03T22:00:00,SN2,0.0,0.0,8.0,114.0
2026-01-03T22:00:00,SN3,0.0,0.0,8.0,40.0
