time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2025-01-03T00:00:00,SN4,5.36,3.0,2.0,47.0
2025-01-03T01:00:00,SN1,6.0,36.0,14.5,181.0
2025-01-03T01:00:00,SN2,6.0,58.0,5.0,421.0
2025-01-03T01:00:00,SN3,6.0,328.0,5.0,171.0
2025-01-03T01:00:00,SN4,6.0,3.0,2.0,50.0
2025-01-03T02:00:00,SN1,6.0,36.0,11.0,182.0
2025-01-03T02:00:00,SN2,6.0,58.0,5.0,400.0
2025-01-03T02:00:00,SN3,6.0,328.0,5.0,177.0
2025-01-03T02:00:00,SN4,6.0,3.0,5.0,58.0
2025-01-03T03:00:00,SN1,6.0,31.0,10.0,170.0
2025-01-03T03:00:00,SN2,6.0,68.0,6.0,581.0
2025-01-03T03:00:00,SN3,6.0,318.0,2.0,171.0
2025-01-03T03:00:00,SN4,6.03,3.0,2.0,68.0
2025-01-03T04:00:00,SN1,6.0,31.0,11.0,184.0
2025-01-03T04:00:00,SN2,6.0,68.0,6.0,566.0
2025-01-03T04:00:00,SN3,6.0,318.0,2.0,171.0
2025-01-03T04:00:00,SN4,6.03,3.0,2.0,69.0
2025-01-03T05:00:00,SN1,5.0,36.0,10.0,170.0
2025-01-03T05:00:00,SN2,4.0,58.0,6.0,580.0
2025-01-03T05:00:00,SN3,4.0,323.0,2.0,171.0
2025-01-03T05:00:00,SN4,8.31,3.0,2.0,69.0
2025-01-03T06:00:00,SN1,19.5,97.0,14.5,179.0
2025-01-03T06:00:00,SN2,19.5,77.0,6.0,571.0
2025-01-03T06:00:00,SN3,40.21,243.0,5.0,158.0
2025-01-03T06:00:00,SN4,40.21,3.0,5.0,82.0
2025-01-03T07:00:00,SN1,12.0,67.0,10.0,179.0
2025-01-03T07:00:00,SN2,10.0,101.0,6.0,571.0
2025-01-03T07:00:00,SN3,40.21,243.0,2.0,157.0
2025-01-03T07:00:00,SN4,40.21,3.0,2.0,83.0
2025-01-03T08:00:00,SN1,10.0,47.0,10.0,170.0
