month,day,hour,power_mw
1,25,11,0.176013
1,25,12,0.136444
1,25,13,0.258862
1,25,14,0.145146
1,25,15,0.010427
1,25,16,0.0
1,25,17,0.0
1,25,18,0.0
1,25,19,0.0
1,25,20,0.0
1,25,21,0.0
1,25,22,0.0
1,25,23,0.0
1,26,0,0.0
1,26,1,0.0
1,26,2,0.0
1,26,3,0.0
1,26,4,0.0
1,26,5,0.0
1,26,6,0.0
1,26,7,0.0
1,26,8,0.0
1,26,9,0.008954
1,26,10,0.029482
1,26,11,0.027404
1,26,12,0.115656
1,26,13,0.242693
1,26,14,0.202193
1,26,15,0.014941
1,26,16,0.0
1,26,17,0.0
1,26,18,0.0
1,26,19,0.0
1,26,20,0.0
1,26,21,0.0
1,26,22,0.0
1,26,23,0.0
1,27,0,0.0
1,27,1,0.0
1,27,2,0.0
1,27,3,0.0
1,27,4,0.0
1,27,5,0.0
1,27,6,0.0
1,27,7,0.0
1,27,8,0.0
1,27,9,0.003162
1,27,10,0.01303
1,27,11,0.022523
1,27,12,0.00986
1,27,13,0.00932
1,27,14,0.011877
1,27,15,0.003802
1,27,16,0.0
1,27,17,0.0
1,27,18,0.0
1,27,19,0.0
1,27,20,0.0
1,27,21,0.0
1,27,22,0.0
1,27,23,0.0
1,28,0,0.0
1,28,1,0.0
1,28,2,0.0
1,28,3,0.0
1,28,4,0.0
1,28,5,0.0
1,28,6,0.0
1,28,7,0.0
1,28,8,0.0
1,28,9,0.139441
1,28,10,0.291722
1,28,11,0.194117
1,28,12,0.152972
1,28,13,0.146349
1,28,14,0.100255
1,28,15,0.015641
1,28,16,0.0
1,28,17,0.0
1,28,18,0.0
1,28,19,0.0
1,28,20,0.0
1,28,21,0.0
1,28,22,0.0
1,28,23,0.0
1,29,0,0.0
1,29,1,0.0
1,29,2,0.0
1,29,3,0.0
1,29,4,0.0
1,29,5,0.0
1,29,6,0.0
1,29,7,0.0
1,29,8,0.0
1,29,9,0.002165
1,29,10,0.010185
1,29,11,0.017603
1,29,12,0.023383
1,29,13,0.009253
1,29,14,0.015624
1,29,15,0.001828
1,29,16,0.0
1,29,17,0.0
1,29,18,0.0
1,29,19,0.0
1,29,20,0.0
1,29,21,0.0
1,29,22,0.0
1,29,23,0.0
1,30,0,0.0
1,30,1,0.0
1,30,2,0.0
