month,day,hour,power_mw
1,28,22,0.0
1,28,23,0.0
1,29,0,0.0
1,29,1,0.0
1,29,2,0.0
1,29,3,0.0
1,29,4,0.0
1,29,5,0.0
1,29,6,0.0
1,29,7,0.0
1,29,8,0.0
1,29,9,0.026556
1,29,10,0.043544
1,29,11,0.095847
1,29,12,0.038152
1,29,13,0.03386
1,29,14,0.024583
1,29,15,0.015628
1,29,16,0.0
1,29,17,0.0
1,29,18,0.0
1,29,19,0.0
1,29,20,0.0
1,29,21,0.0
1,29,22,0.0
1,29,23,0.0
1,30,0,0.0
1,30,1,0.0
1,30,2,0.0
1,30,3,0.0
1,30,4,0.0
1,30,5,0.0
1,30,6,0.0
1,30,7,0.0
1,30,8,0.0
1,30,9,0.069062
1,30,10,0.040666
1,30,11,0.037342
1,30,12,0.028844
1,30,13,0.022001
1,30,14,0.017209
1,30,15,0.008563
1,30,16,0.0
1,30,17,0.0
1,30,18,0.0
1,30,19,0.0
1,30,20,0.0
1,30,21,0.0
1,30,22,0.0
1,30,23,0.0
1,31,0,0.0
1,31,1,0.0
1,31,2,0.0
1,31,3,0.0
1,31,4,0.0
1,31,5,0.0
1,31,6,0.0
1,31,7,0.0
1,31,8,0.00868
1,31,9,0.0605
1,31,10,0.055658
1,31,11,0.075132
1,31,12,0.058147
1,31,13,0.060073
1,31,14,0.04406
1,31,15,0.029672
1,31,16,0.0
1,31,17,0.0
1,31,18,0.0
1,31,19,0.0
1,31,20,0.0
1,31,21,0.0
1,31,22,0.0
1,31,23,0.0
2,1,0,0.0
2,1,1,0.0
2,1,2,0.0
2,1,3,0.0
2,1,4,0.0
2,1,5,0.0
2,1,6,0.0
2,1,7,0.0
2,1,8,0.0
2,1,9,0.003202
2,1,10,0.01134
2,1,11,0.018103
2,1,12,0.110842
2,1,13,0.083922
2,1,14,0.035981
2,1,15,0.021516
2,1,16,0.0
2,1,17,0.0
2,1,18,0.0
2,1,19,0.0
2,1,20,0.0
2,1,21,0.0
2,1,22,0.0
2,1,23,0.0
2,2,0,0.0
2,2,1,0.0
2,2,2,0.0
2,2,3,0.0
2,2,4,0.0
2,2,5,0.0
2,2,6,0.0
2,2,7,0.0
2,2,8,0.012827
2,2,9,0.131137
2,2,10,0.242586
2,2,11,0.286983
2,2,12,0.340916
2,2,13,0.304941
2,2,14,0.221647
2,2,15,0.100967
2,2,16,0.0
2,2,17,0.0
2,2,18,0.0
2,2,19,0.0
2,2,20,0.0
2,2,21,0.0
2,2,22,0.0
2,2,23,0.0
2,3,0,0.0
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,3,7,0.0
2,3,8,0.002755
2,3,9,0.112735
2,3,10,0.218085
2,3,11,0.277145
2,3,12,0.283039
2,3,13,0.234477
2,3,14,0.192436
2,3,15,0.054349
2,3,16,0.0
2,3,17,0.0
2,3,18,0.0
2,3,19,0.0
2,3,20,0.0
2,3,21,0.0
2,3,22,0.0
2,3,23,0.0
2,4,0,0.0
2,4,1,0.0
